Title,Impact factor,Publisher,Categories
"ACM SIGGRAPH 2018 Educator's Forum	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Emerging Technologies	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Panels	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Posters	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Studio	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Talks	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2019 Appy Hour	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Art Gallery	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Courses	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Educators Forum	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Emerging Technologies	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Panels	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Posters	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Studio	 SIGGRAPH 2019",,,
"ACM SIGGRAPH 2019 Talks	 SIGGRAPH 2019",,,
ACM SIGPLAN Notices,,,
ACM Transactions on Accessible Computing,,,
ACM Transactions on Algorithms,,,
ACM Transactions on Applied Perception,,,
ACM Transactions on Asian and Low-Resource Language Information Processing,,,
ACM Transactions on Autonomous and Adaptive Systems,,,
ACM Transactions on Computation Theory,,,
ACM Transactions on Computational Logic,,,
ACM Transactions on Computer Systems,,,
ACM Transactions on Computer-Human Interaction,,,
ACM Transactions on Computing Education,,,
ACM Transactions on Cyber-Physical Systems,,,
ACM Transactions on Database Systems,,,
ACM Transactions on Design Automation of Electronic Systems,,,
ACM Transactions on Economics and Computation,,,
ACM Transactions on Graphics,,,
ACM Transactions on Human-Robot Interaction,,,
ACM Transactions on Information Systems,,,
ACM Transactions on Intelligent Systems and Technology,,,
ACM Transactions on Interactive Intelligent Systems,,,
ACM Transactions on Internet Technology,,,
ACM Transactions on Knowledge Discovery from Data,,,
ACM Transactions on Management Information Systems,,,
ACM Transactions on Mathematical Software,,,
ACM Transactions on Modeling and Computer Simulation,,,
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,,,
"ACM Transactions on Multimedia Computing	 Communications and Applications",,,
ACM Transactions on Parallel Computing,,,
ACM Transactions on Privacy and Security,,,
ACM Transactions on Programming Languages and Systems,,,
ACM Transactions on Reconfigurable Technology and Systems,,,
ACM Transactions on Sensor Networks,,,
ACM Transactions on Software Engineering and Methodology,,,
ACM Transactions on Spatial Algorithms and Systems,,,
ACM Transactions on Storage,,,
ACM Transactions on the Web,,,
"ACM UMAP 2019 - Proceedings of the 27th ACM Conference on User Modeling	 Adaptation and Personalization",,,
"ACM UMAP 2019 Adjunct - Adjunct Publication of the 27th Conference on User Modeling	 Adaptation and Personalization",,,
ACM/IEEE International Conference on Human-Robot Interaction,,,
"ACM-BCB 2017 - Proceedings of the 8th ACM International Conference on Bioinformatics	 Computational Biology	 and Health Informatics",,,
"ACM-BCB 2018 - Proceedings of the 2018 ACM International Conference on Bioinformatics	 Computational Biology	 and Health Informatics",,,
"ACM-BCB 2019 - Proceedings of the 10th ACM International Conference on Bioinformatics	 Computational Biology and Health Informatics",,,
ACME,,,
ACMSE 2019 - Proceedings of the 2019 ACM Southeast Conference,,,
ACORN,,,
Acotaciones,,,
Acoustical Physics,,,
Acoustical Science and Technology,,,
"Acoustics 2019	 Sound Decisions: Moving Forward with Acoustics - Proceedings of the Annual Conference of the Australian Acoustical Society",,,
Acoustics Australia,,,
Acoustics Bulletin,,,
ACRA 2018 - 9th Asian Conference on Refrigeration and Air-Conditioning,,,
ACRN Journal of Finance and Risk Perspectives,,,
Acrocephalus,,,
Across Languages and Cultures,,,
ACS Applied Bio Materials,,American Chemical Society,
ACS Applied Electronic Materials,,American Chemical Society,
ACS Applied Energy Materials,,American Chemical Society,
ACS applied materials and interfaces,,American Chemical Society,
ACS Applied Nano Materials,,American Chemical Society,
ACS Biomaterials Science and Engineering,,American Chemical Society,
ACS Catalysis,,American Chemical Society,
ACS Central Science,,American Chemical Society,
ACS Chemical Biology,,American Chemical Society,
ACS Chemical Neuroscience,,American Chemical Society,
ACS Combinatorial Science,,American Chemical Society,
ACS Earth and Space Chemistry,,American Chemical Society,
ACS Energy Letters,,American Chemical Society,
ACS Infectious Diseases,,American Chemical Society,
ACS Macro Letters,,American Chemical Society,
ACS Materials Letters,,American Chemical Society,
ACS Medicinal Chemistry Letters,,American Chemical Society,
ACS Nano,,American Chemical Society,
ACS Omega,,American Chemical Society,
ACS Pharmacology and Translational Science,,American Chemical Society,
ACS Photonics,,American Chemical Society,
ACS Sensors,,American Chemical Society,
ACS Sustainable Chemistry and Engineering,,American Chemical Society,
ACS Symposium Series,,American Chemical Society,
ACS Synthetic Biology,,American Chemical Society,
ACSM's Health and Fitness Journal,,,
Acta Academiae Artium Vilnensis,,,
Acta Academiae Medicinae Sinicae,,,
Acta Academica,,,
Acta Acustica united with Acustica,,,
Acta ad Archaeologiam et Artium Historiam Pertinentia,,,
Acta Adriatica,,,
Acta Agriculturae Scandinavica - Section A: Animal Science,,,
Acta Agriculturae Scandinavica - Section B Soil and Plant Science,,,
Acta Agriculturae Slovenica,,,
Acta Agrobotanica,,,
Acta Agronomica,,,
Acta Agronomica Sinica(China),,,
Acta Alimentaria,,,
Acta Amazonica,,,
Acta Anaesthesiologica Belgica,,,
Acta Anaesthesiologica Scandinavica,,,
Acta Analytica,,,
Acta Anatomica Sinica,,,
Acta Angiologica,,,
Acta Antiqua Academiae Scientiarum Hungaricae,,,
Acta Applicandae Mathematicae,,,
Acta Arachnologica,,,
Acta Archaeologica,,,
Acta Archaeologica Academiae Scientiarum Hungaricae,,,
Acta Archaeologica Lodziensia,,,
Acta Arithmetica,,,
Acta Astronautica,,,
Acta Astronomica,,,
Acta Baltica Historiae et Philosophiae Scientiarum,,,
Acta Baltico-Slavica,,,
Acta Biochimica et Biophysica Sinica,,,
Acta Biochimica Polonica,,,
Acta Bioethica,,,
Acta Biologica Colombiana,,,
Acta Biologica Cracoviensia Series Botanica,,,
Acta Biologica Szegediensis,,,
Acta Biomaterialia,,,
Acta Biomedica de l'Ateneo Parmense,,,
Acta Biotheoretica,,,
Acta Borealia,,,
Acta Botanica Brasilica,,,
Acta Botanica Croatica,,,
Acta Botanica Hungarica,,,
Acta Botanica Mexicana,,,
Acta Botanica Venezuelica,,,
Acta Cardiologica,,,
Acta Cardiologica Sinica,,,
Acta Carsologica,,,
Acta Chimica Sinica,,,
Acta Chimica Slovenica,,,
Acta Chiropterologica,,,
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,,,
Acta Chirurgiae Plasticae,,,
Acta Chirurgica Belgica,,,
Acta Chromatographica,,,
Acta Cirurgica Brasileira,,,
Acta Classica,,,
Acta Clinica Belgica,,,
Acta Clinica Croatica,,,
Acta Colombiana de Psicologia,,,
Acta Comeniana,,,
Acta Comportamentalia,,,
Acta Conventus Neo-Latini,,,
Acta Crystallographica Section A: Foundations and Advances,,,
"Acta Crystallographica Section B: Structural Science	 Crystal Engineering and Materials",,,
Acta Crystallographica Section D: Structural Biology,,,
Acta Crystallographica Section E: Crystallographic Communications,,,
Acta Crystallographica Section F:Structural Biology Communications,,,
"Acta crystallographica. Section C	 Structural chemistry",,,
Acta Cybernetica,,,
Acta Cytologica,,,
Acta Dermato-Venereologica,,,
"Acta Dermatovenerologica Alpina	 Panonica et Adriatica",,,
Acta Dermatovenerologica Croatica,,,
Acta Diabetologica,,,
Acta Didactica Norge,,,
Acta Ecologica Sinica,,,
Acta Endocrinologica,,,
Acta Entomologica Musei Nationalis Pragae,,,
Acta et Commentationes Universitatis Tartuensis de Mathematica,,,
Acta Ethnographica Hungarica,,,
Acta Ethologica,,,
Acta Facultatis Medicae Naissensis,,,
Acta Facultatis Xylologiae,,,
Acta Fytotechnica et Zootechnica,,,
Acta Gastro-Enterologica Belgica,,,
Acta Gastroenterologica Latinoamericana,,,
Acta Geochimica,,,
Acta Geodaetica et Cartographica Sinica,,,
Acta Geodaetica et Geophysica,,,
Acta Geodynamica et Geomaterialia,,,
Acta Geographica Lodziensia,,,
Acta Geographica Sinica,,,
Acta Geographica Slovenica,,,
Acta Geologica Polonica,,,
Acta Geologica Sinica,,,
Acta Geologica Slovaca,,,
Acta Geophysica,,,
Acta Geophysica Sinica,,,
Acta Geoscientica Sinica,,,
Acta Geotechnica,,,
Acta Geotechnica Slovenica,,,
Acta Gymnica,,,
Acta Haematologica,,,
Acta Haematologica Polonica,,,
Acta Hepatologica Japonica,,,
Acta Herpetologica,,,
Acta Histochemica,,,
Acta Histochemica et Cytochemica,,,
Acta Historiae Artis Slovenica,,,
Acta Historica Tallinnensia,,,
Acta Histriae,,,
Acta Horticulturae,,,
Acta Horticulturae Sinica,,,
Acta Hydrotechnica,,,
Acta Ichthyologica et Piscatoria,,,
Acta IMEKO,,,
Acta Informatica,,,
Acta Informatica Medica,,,
Acta Informatica Pragensia,,,
Acta Koreana,,,
Acta Limnologica Brasiliensia,,,
Acta Linguistica Academica,,,
Acta Linguistica Asiatica,,,
Acta Linguistica Hafniensia,,,
Acta Literaria,,,
Acta Logistica,,,
Acta Materialia,,,
Acta Mathematica,,,
Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis,,,
Acta Mathematica Hungarica,,,
Acta Mathematica Scientia,,,
"Acta Mathematica Sinica	 Chinese Series",,,
"Acta Mathematica Sinica	 English Series",,,
Acta Mathematica Universitatis Comenianae,,,
Acta Mathematica Vietnamica,,,
Acta Mathematicae Applicatae Sinica,,,
Acta Mechanica,,,
Acta Mechanica et Automatica,,,
Acta Mechanica Sinica/Lixue Xuebao,,,
Acta Mechanica Solida Sinica,,,
Acta medica (Hradec Kralove),,,
Acta medica academica,,,
Acta Medica Bulgarica,,,
Acta Medica Croatica,,,
Acta medica Indonesiana,,,
Acta Medica Iranica,,,
Acta Medica Mediterranea,,,
Acta Medica Okayama,,,
Acta Medica Philippina,,,
Acta Medica Portuguesa,,,
Acta Medica Saliniana,,,
Acta Metallurgica Sinica (English Letters),,,
Acta Metallurgica Slovaca,,,
Acta Microbiologica et Immunologica Hungarica,,,
Acta Microbiologica Hellenica,,,
Acta Microscopica,,,
Acta Montanistica Slovaca,,,
Acta Musicologica,,,
Acta Mycologica,,,
Acta Myologica,,,
Acta Naturae,,,
Acta Neophilologica,,,
Acta Neurobiologiae Experimentalis,,,
Acta Neurochirurgica,,,
Acta Neurologica Belgica,,,
Acta Neurologica Scandinavica,,,
Acta Neurologica Taiwanica,,,
Acta Neuropathologica,,,
Acta neuropathologica communications,,,
Acta Neuropsychiatrica,,,
Acta Neuropsychologica,,,
Acta Numerica,,,
Acta Obstetricia et Gynecologica Scandinavica,,,
Acta Oceanologica Sinica,,,
Acta Odontologica Scandinavica,,,
Acta Oecologica,,,
Acta Oeconomica,,,
Acta of Bioengineering and Biomechanics,,,
Acta Oncologica,,,
Acta Onomastica,,,
Acta Ophthalmologica,,,
Acta Orientalia,,,
Acta Ornithologica,,,
Acta Orthopaedica,,,
Acta Orthopaedica Belgica,,,
Acta Orthopaedica et Traumatologica Turcica,,,
Acta Ortopedica Brasileira,,,
Acta Oto-Laryngologica,,,
Acta Otorhinolaryngologica Italica,,,
Acta Otorrinolaringologica Espanola,,,
Acta Paedagogica Vilnensia,,,
"Acta Paediatrica	 International Journal of Paediatrics",,,
Acta Palaeobotanica,,,
Acta Palaeontologica Polonica,,,
Acta Parasitologica,,,
ACTA Paulista de Enfermagem,,,
Acta Pediatrica de Mexico,,,
Acta Pediatrica Espanola,,,
Acta Pedologica Sinica,,,
Acta Periodica Technologica,,,
Acta Petrologica Sinica,,,
Acta Pharmaceutica,,,
Acta Pharmaceutica Sciencia,,,
Acta Pharmaceutica Sinica B,,,
Acta Pharmacologica Sinica,,,
Acta Philosophica,,,
Acta Phlebologica,,,
Acta Physica Polonica A,,,
Acta Physica Polonica B,,,
"Acta Physica Polonica B	 Proceedings Supplement",,,
Acta Physica Slovaca,,,
Acta Physiologiae Plantarum,,,
Acta Physiologica,,,
Acta Physiologica Sinica,,,
Acta Phytopathologica et Entomologica Hungarica,,,
Acta Phytotaxonomica et Geobotanica,,,
Acta Poetica,,,
Acta Politica,,,
Acta Politologica,,,
Acta Poloniae Historica,,,
Acta Poloniae Pharmaceutica,,,
Acta Polymerica Sinica,,,
Acta Polytechnica,,,
Acta Polytechnica Hungarica,,,
Acta Prataculturae Sinica,,,
Acta Protozoologica,,,
Acta Psychiatrica Scandinavica,,,
Acta Psychologica,,,
Acta Psychologica Sinica,,,
Acta Radiologica,,,
Acta Reumatologica Portuguesa,,,
Acta Scientiae,,,
Acta Scientiae Veterinariae,,,
Acta Scientiarum - Agronomy,,,
Acta Scientiarum - Animal Sciences,,,
Acta Scientiarum - Biological Sciences,,,
Acta Scientiarum - Health Sciences,,,
Acta Scientiarum - Technology,,,
Acta Scientiarum Language and Culture,,,
Acta Scientiarum Mathematicarum,,,
"Acta Scientiarum Polonorum	 Administratio Locorum",,,
"Acta Scientiarum Polonorum	 Hortorum Cultus",,,
"Acta Scientiarum Polonorum	 Technologia Alimentaria",,,
Acta Seismologica Sinica,,,
Acta Silvatica et Lignaria Hungarica,,,
Acta Societatis Botanicorum Poloniae,,,
Acta Sociologica,,,
Acta Stomatologica Croatica,,,
Acta Stomatologica Naissi,,,
Acta Tabacaria Sinica,,,
Acta Technologica Agriculturae,,,
Acta Theologica,,,
Acta Theriologica Sinica,,,
Acta Tropica,,,
Acta Turistica,,,
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,,,
"Acta Universitatis Carolinae	 Geographica",,,
"Acta Universitatis Sapientiae	 Mathematica",,,
"Acta Universitatis Sapientiae	 Philologica",,,
Acta Urologica Japonica,,,
Acta Veterinaria,,,
Acta Veterinaria Brasilica,,,
Acta Veterinaria Brno,,,
Acta Veterinaria Eurasia,,,
Acta Veterinaria Hungarica,,,
Acta Veterinaria Scandinavica,,,
Acta Virologica,,,
Acta Zoologica,,,
Acta Zoologica Academiae Scientiarum Hungaricae,,,
Acta Zoologica Bulgarica,,,
"Actas de las 22nd Jornadas de Ingenierandamp;amp;amp;amp;amp;#65533;a del Software y Bases de Datos	 JISBD 2017",,,
"Actas de las 23rd Jornadas de Ingenieria del Software y Bases de Datos	 JISBD 2018",,,
Actas Dermo-Sifiliograficas,,,
Actas Espanolas de Psiquiatria,,,
Actas Urologicas Espanolas,,,
Actes de CFIP 2008 - Colloque Francophone sur l'Ingenierie des Protocoles,,,
Actes de la Recherche en Sciences Sociales,,,
Action in Teacher Education,,,
Action Learning: Research and Practice,,,
Action Research,,,
Active 2017 - Proceedings of the 2017 Active: International Workshop on Active Middleware on Modern Hardware,,,
Active and Passive Electronic Components,,,
Active Learning in Higher Education,,,
Activitas Nervosa Superior,,,
Activitas Nervosa Superior Rediviva,,,
"Activities	 Adaptation and Aging",,,
Actual Problems of Theory and History of Art,,,
Actualidad Juridica Iberoamericana,,,
Actualite Chimique,,,
Actualites Pharmaceutiques,,,
Actualizaciones en Osteologia,,,
Actuators,,,
Actuel Marx,,,
Acupuncture and Electro-Therapeutics Research,,,
Acupuncture in Medicine,,,
Acute and Critical Care,,,
Acute Medicine,,,
"ACUUS 2018 - 16th World Conference of the Associated Research Centers for the Urban Underground Space: Integrated Underground Solutions for Compact Metropolitan Cities	 Conference Proceedings",,,
Ad Hoc Networks,,,
Ad Limina,,,
Ada User Journal,,,
Adamantius,,,
Adansonia,,,
Adaptation,,,
Adapted Physical Activity Quarterly,,,
Adaptive Behavior,,,
Adaptive Human Behavior and Physiology,,,
Addiction,,,
Addiction Biology,,,
Addiction Research and Theory,,,
Addiction science and clinical practice,,,
Addictive Behaviors,,,
Addictive Behaviors Reports,,,
Addictive Disorders and their Treatment,,,
Additive Manufacturing,,,
Adelaide Law Review,,,
Adhaesion Kleben und Dichten,,,
ADHD Attention Deficit and Hyperactivity Disorders,,,
Adhesion Adhesives and Sealants,,,
Ad-Hoc and Sensor Wireless Networks,,,
Adicciones,,,
Adiktologie,,,
Adipocyte,,,
ADMET and DMPK,,,
Administratie si Management Public,,,
Administration,,,
Administration and Policy in Mental Health and Mental Health Services Research,,,
Administration and Society,,,
Administrative Law Review,,,
Administrative Science Quarterly,,,
Administrative Theory and Praxis,,,
Adolescencia e Saude,,,
Adolescent Medicine: State of the Art Reviews,,,
Adolescent Research Review,,,
Adoption and Fostering,,,
Adoption Quarterly,,,
Adsorption,,,
Adsorption Science and Technology,,,
Adult Education Quarterly,,,
Adultspan Journal,,,
Advanced Biomedical Engineering,,,
Advanced Biosystems,,,
Advanced Composite Materials,,,
Advanced Composites Bulletin,,,
Advanced Composites Letters,,,
Advanced Drug Delivery Reviews,,,
Advanced Electromagnetics,,,
Advanced Electronic Materials,,,
Advanced Emergency Nursing Journal,,,
Advanced Energy Materials,,,
Advanced Engineering Informatics,,,
Advanced Engineering Materials,,,
Advanced Filtration Technologies Conference 2017,,,
Advanced Functional Materials,,,
Advanced healthcare materials,,,
Advanced Manufacturing: Polymer and Composites Science,,,
Advanced Materials,,,
Advanced Materials - TechConnect Briefs 2016,,,
Advanced Materials and Processes,,,
Advanced Materials Interfaces,,,
Advanced Materials Technologies,,,
Advanced Modeling and Simulation in Engineering Sciences,,,
Advanced Nonlinear Studies,,,
Advanced Optical Materials,,,
Advanced Optical Technologies,,,
Advanced Pharmaceutical Bulletin,,,
Advanced Powder Technology,,,
Advanced Robotics,,,
Advanced Science,,,
Advanced Series in Management,,,
Advanced Series on Ocean Engineering,,,
Advanced Steel Construction,,,
Advanced Structural and Chemical Imaging,,,
Advanced Structured Materials,,,
Advanced Studies in Contemporary Mathematics (Kyungshang) (discontinued),,,
Advanced Sustainable Systems,,,
Advanced Synthesis and Catalysis,,,
Advanced Theory and Simulations,,,
Advanced Therapeutics,,,
Advanced Vehicle Control AVEC&#x00c3;&#x0083;&#x00c2;&#x00a2;&#x00c3;&#x00a2;&#x00e2;&#x0080;&#x009a;&#x00c2;&#x00ac;&#x00c3;&#x00a2;&#x00e2;&#x0080;&#x009e;&#x00c2;&#x00a2;16 - Proceedings of the 13th International Symposium on Advanced Vehicle Control AVEC&#x00c3;&#x0083;&#x00c2;&#x00a2;&#x00c3;&#x00a2;&#x00e2;&#x0080;&#x009a;&#x00c2;&#x00ac;&#x00c3;&#x00a2;&#x00e2;&#x0080;&#x009e;&#x00c2;&#x00a2;16,,,
Advancements in Life Sciences,,,
Advances and Applications in Bioinformatics and Chemistry,,,
"Advances and Trends in Engineering Sciences and Technologies II - Proceedings of the 2nd International Conference on Engineering Sciences and Technologies	 ESaT 2016",,,
